Country,ISO3,Region,CPI score 2019,Rank
Jordan,JOR,MENA,48,60
Croatia,HRV,WE/EU,47,63
Sao Tome and Principe,STP,SSA,46,64
Vanuatu,VUT,AP,46,64
Argentina,ARG,AME,45,66
Belarus,BLR,ECA,45,66
Montenegro,MNE,ECA,45,66
Senegal,SEN,SSA,45,66
Hungary,HUN,WE/EU,44,70
Romania,ROU,WE/EU,44,70
South Africa,ZAF,SSA,44,70
Suriname,SUR,AME,44,70
Bulgaria,BGR,WE/EU,43,74
Jamaica,JAM,AME,43,74
Tunisia,TUN,MENA,43,74
Armenia,ARM,ECA,42,77
Bahrain,BHR,MENA,42,77
Solomon Islands,SLB,AP,42,77
Benin,BEN,SSA,41,80
China,CHN,AP,41,80
Ghana,GHA,SSA,41,80
India,IND,AP,41,80
Morocco,MAR,MENA,41,80
Burkina Faso,BFA,SSA,40,85
Guyana,GUY,AME,40,85
Indonesia,IDN,AP,40,85
Kuwait,KWT,MENA,40,85
Lesotho,LSO,SSA,40,85
Trinidad and Tobago,TTO,AME,40,85
Serbia,SRB,ECA,39,91
Turkey,TUR,ECA,39,91
Ecuador,ECU,AME,38,93
Sri Lanka,LKA,AP,38,93
Timor-Leste,TLS,AP,38,93
Colombia,COL,AME,37,96
Ethiopia,ETH,SSA,37,96
Gambia,GMB,SSA,37,96
Tanzania,TZA,SSA,37,96
Vietnam,VNM,AP,37,96
Bosnia and Herzegovina,BIH,ECA,36,101
Kosovo,KSV,ECA,36,101
Panama,PAN,AME,36,101
Peru,PER,AME,36,101
Thailand,THA,AP,36,101
Albania,ALB,ECA,35,106
Algeria,DZA,MENA,35,106
Brazil,BRA,AME,35,106
Cote d'Ivoire,CIV,SSA,35,106
Egypt,EGY,MENA,35,106
North Macedonia,MKD,ECA,35,106
Mongolia,MNG,AP,35,106
El Salvador,SLV,AME,34,113
Kazakhstan,KAZ,ECA,34,113
Nepal,NPL,AP,34,113
Philippines,PHL,AP,34,113
Eswatini,SWZ,SSA,34,113
Zambia,ZMB,SSA,34,113
Sierra Leone,SLE,SSA,33,119
Moldova,MDA,ECA,32,120
Niger,NER,SSA,32,120
Pakistan,PAK,AP,32,120
Bolivia,BOL,AME,31,123
Gabon,GAB,SSA,31,123
Malawi,MWI,SSA,31,123
Azerbaijan,AZE,ECA,30,126
Djibouti,DJI,SSA,30,126
Kyrgyzstan,KGZ,ECA,30,126
Ukraine,UKR,ECA,30,126
Guinea,GIN,SSA,29,130
Laos,LAO,AP,29,130
Maldives,MDV,AP,29,130
Mali,MLI,SSA,29,130
Mexico,MEX,AME,29,130
Myanmar,MMR,AP,29,130
Togo,TGO,SSA,29,130
Dominican Republic,DOM,AME,28,137
Kenya,KEN,SSA,28,137
Lebanon,LBN,MENA,28,137
Liberia,LBR,SSA,28,137
Mauritania,MRT,SSA,28,137
Papua New Guinea,PNG,AP,28,137
Paraguay,PRY,AME,28,137
Russia,RUS,ECA,28,137
Uganda,UGA,SSA,28,137
Angola,AGO,SSA,26,146
Bangladesh,BGD,AP,26,146
Guatemala,GTM,AME,26,146
Honduras,HND,AME,26,146
Iran,IRN,MENA,26,146
Mozambique,MOZ,SSA,26,146
Nigeria,NGA,SSA,26,146
Cameroon,CMR,SSA,25,153
Central African Republic,CAF,SSA,25,153
Comoros,COM,SSA,25,153
Tajikistan,TJK,ECA,25,153
Uzbekistan,UZB,ECA,25,153
Madagascar,MDG,SSA,24,158
Zimbabwe,ZWE,SSA,24,158
Eritrea,ERI,SSA,23,160
Nicaragua,NIC,AME,22,161
Cambodia,KHM,AP,20,162
Chad,TCD,SSA,20,162
Iraq,IRQ,MENA,20,162
Burundi,BDI,SSA,19,165
Congo,COG,SSA,19,165
Turkmenistan,TKM,ECA,19,165
Democratic Republic of the Congo,COD,SSA,18,168
Guinea Bissau,GNB,SSA,18,168
Haiti,HTI,AME,18,168
Libya,LBY,MENA,18,168
"Korea, North",PRK,AP,17,172
Afghanistan,AFG,AP,16,173
Equatorial Guinea,GNQ,SSA,16,173
Sudan,SDN,SSA,16,173
Venezuela,VEN,AME,16,173
Yemen,YEM,MENA,15,177
Syria,SYR,MENA,13,178
South Sudan,SSD,SSA,12,179
Somalia,SOM,SSA,9,180
